,time,lat,lon,t_abs
361447,2017-05-16T24:00:00Z,37.5,-32.5,16.57
361448,2017-05-16T24:00:00Z,37.5,-27.5,16.866001
361449,2017-05-16T24:00:00Z,37.5,-7.5,19.867895
361450,2017-05-16T24:00:00Z,37.5,-2.5,20.804665
361451,2017-05-16T24:00:00Z,37.5,2.5,23.012222
361452,2017-05-16T24:00:00Z,37.5,7.5,20.439999
361453,2017-05-16T24:00:00Z,37.5,12.5,20.681427
361454,2017-05-16T24:00:00Z,37.5,17.5,18.58125
361455,2017-05-16T24:00:00Z,37.5,22.5,19.712858
361456,2017-05-16T24:00:00Z,37.5,27.5,19.88143
361457,2017-05-16T24:00:00Z,37.5,32.5,17.232859
361458,2017-05-16T24:00:00Z,37.5,37.5,19.403078
361459,2017-05-16T24:00:00Z,37.5,42.5,15.603999
361460,2017-05-16T24:00:00Z,37.5,47.5,18.836924
361461,2017-05-16T24:00:00Z,37.5,52.5,22.062
361462,2017-05-16T24:00:00Z,37.5,57.5,24.682003
361463,2017-05-16T24:00:00Z,37.5,62.5,26.287142
361464,2017-05-16T24:00:00Z,37.5,67.5,26.135
361465,2017-05-16T24:00:00Z,37.5,72.5,16.53
361466,2017-05-16T24:00:00Z,37.5,77.5,23.2
361467,2017-05-16T24:00:00Z,37.5,87.5,22.19
361468,2017-05-16T24:00:00Z,37.5,92.5,8.580001
361469,2017-05-16T24:00:00Z,37.5,97.5,12.0275
361470,2017-05-16T24:00:00Z,37.5,102.5,11.455001
361471,2017-05-16T24:00:00Z,37.5,107.5,17.543636
361472,2017-05-16T24:00:00Z,37.5,112.5,20.566154
361473,2017-05-16T24:00:00Z,37.5,117.5,22.064116
361474,2017-05-16T24:00:00Z,37.5,122.5,18.29125
361475,2017-05-16T24:00:00Z,37.5,127.5,18.554771
361476,2017-05-16T24:00:00Z,37.5,132.5,18.86
361477,2017-05-16T24:00:00Z,37.5,137.5,18.044106
361478,2017-05-16T24:00:00Z,37.5,142.5,17.281906
361479,2017-05-16T24:00:00Z,42.5,-122.5,14.301999
361480,2017-05-16T24:00:00Z,42.5,-117.5,14.502501
361481,2017-05-16T24:00:00Z,42.5,-112.5,12.058572
361482,2017-05-16T24:00:00Z,42.5,-107.5,11.583846
361483,2017-05-16T24:00:00Z,42.5,-102.5,13.09706
361484,2017-05-16T24:00:00Z,42.5,-97.5,15.342247
361485,2017-05-16T24:00:00Z,42.5,-92.5,15.010774
361486,2017-05-16T24:00:00Z,42.5,-87.5,13.466735
361487,2017-05-16T24:00:00Z,42.5,-82.5,14.241554
361488,2017-05-16T24:00:00Z,42.5,-77.5,13.566252
361489,2017-05-16T24:00:00Z,42.5,-72.5,13.356999
361490,2017-05-16T24:00:00Z,42.5,-67.5,11.084999
361491,2017-05-16T24:00:00Z,42.5,-62.5,10.815
361492,2017-05-16T24:00:00Z,42.5,-7.5,16.029999
361493,2017-05-16T24:00:00Z,42.5,-2.5,17.287098
361494,2017-05-16T24:00:00Z,42.5,2.5,17.013332
361495,2017-05-16T24:00:00Z,42.5,7.5,17.901852
361496,2017-05-16T24:00:00Z,42.5,12.5,17.845863
361497,2017-05-16T24:00:00Z,42.5,17.5,17.4597
361498,2017-05-16T24:00:00Z,42.5,22.5,15.478719
361499,2017-05-16T24:00:00Z,42.5,27.5,16.991581
361500,2017-05-16T24:00:00Z,42.5,32.5,15.506667
361501,2017-05-16T24:00:00Z,42.5,37.5,15.83
361502,2017-05-16T24:00:00Z,42.5,42.5,15.334999
361503,2017-05-16T24:00:00Z,42.5,47.5,18.66
361504,2017-05-16T24:00:00Z,42.5,52.5,19.9625
361505,2017-05-16T24:00:00Z,42.5,57.5,23.076668
361506,2017-05-16T24:00:00Z,42.5,62.5,24.5225
361507,2017-05-16T24:00:00Z,42.5,67.5,23.80111
361508,2017-05-16T24:00:00Z,42.5,72.5,20.615454
361509,2017-05-16T24:00:00Z,42.5,77.5,16.99
361510,2017-05-16T24:00:00Z,42.5,82.5,18.69
361511,2017-05-16T24:00:00Z,42.5,87.5,21.225714
361512,2017-05-16T24:00:00Z,42.5,92.5,22.020002
361513,2017-05-16T24:00:00Z,42.5,97.5,15.8949995
361514,2017-05-16T24:00:00Z,42.5,102.5,20.66
361515,2017-05-16T24:00:00Z,42.5,107.5,17.256666
361516,2017-05-16T24:00:00Z,42.5,112.5,16.938334
361517,2017-05-16T24:00:00Z,42.5,117.5,17.587694
361518,2017-05-16T24:00:00Z,42.5,122.5,17.761175
361519,2017-05-16T24:00:00Z,42.5,127.5,14.5241165
361520,2017-05-16T24:00:00Z,42.5,132.5,12.702001
361521,2017-05-16T24:00:00Z,42.5,137.5,11.96
361522,2017-05-16T24:00:00Z,42.5,142.5,12.79037
361523,2017-05-16T24:00:00Z,42.5,147.5,7.3549995
361524,2017-05-16T24:00:00Z,47.5,-127.5,11.913333
361525,2017-05-16T24:00:00Z,47.5,-122.5,13.312441
361526,2017-05-16T24:00:00Z,47.5,-117.5,13.931907
361527,2017-05-16T24:00:00Z,47.5,-112.5,11.677618
