date,lat,lon,t_abs
2017-05-16,42.5,-92.5,15.010774
2017-05-16,42.5,-87.5,13.466735
2017-05-16,42.5,-82.5,14.241554
2017-05-16,42.5,-77.5,13.566252
2017-05-16,42.5,-72.5,13.356999
2017-05-16,42.5,-67.5,11.084999
2017-05-16,42.5,-62.5,10.815
2017-05-16,42.5,-7.5,16.029999
2017-05-16,42.5,-2.5,17.287098
2017-05-16,42.5,2.5,17.013332
2017-05-16,42.5,7.5,17.901852
2017-05-16,42.5,12.5,17.845863
2017-05-16,42.5,17.5,17.4597
2017-05-16,42.5,22.5,15.478719
2017-05-16,42.5,27.5,16.991581
2017-05-16,42.5,32.5,15.506667
2017-05-16,42.5,37.5,15.83
2017-05-16,42.5,42.5,15.334999
2017-05-16,42.5,47.5,18.66
2017-05-16,42.5,52.5,19.9625
2017-05-16,42.5,57.5,23.076668
2017-05-16,42.5,62.5,24.5225
2017-05-16,42.5,67.5,23.80111
2017-05-16,42.5,72.5,20.615454
2017-05-16,42.5,77.5,16.99
2017-05-16,42.5,82.5,18.69
2017-05-16,42.5,87.5,21.225714
2017-05-16,42.5,92.5,22.020002
2017-05-16,42.5,97.5,15.8949995
2017-05-16,42.5,102.5,20.66
2017-05-16,42.5,107.5,17.256666
2017-05-16,42.5,112.5,16.938334
2017-05-16,42.5,117.5,17.587694
2017-05-16,42.5,122.5,17.761175
2017-05-16,42.5,127.5,14.5241165
2017-05-16,42.5,132.5,12.702001
2017-05-16,42.5,137.5,11.96
2017-05-16,42.5,142.5,12.79037
2017-05-16,42.5,147.5,7.3549995
2017-05-16,47.5,-127.5,11.913333
2017-05-16,47.5,-122.5,13.312441
2017-05-16,47.5,-117.5,13.931907
2017-05-16,47.5,-112.5,11.677618
2017-05-16,47.5,-107.5,12.877858
2017-05-16,47.5,-102.5,13.499285
2017-05-16,47.5,-97.5,12.556154
2017-05-16,47.5,-92.5,10.616571
2017-05-16,47.5,-87.5,9.016364
2017-05-16,47.5,-82.5,9.408571
2017-05-16,47.5,-77.5,9.790001
2017-05-16,47.5,-72.5,10.662258
2017-05-16,47.5,-67.5,9.272222
2017-05-16,47.5,-62.5,7.3166666
2017-05-16,47.5,-57.5,5.172
2017-05-16,47.5,-52.5,3.185
2017-05-16,47.5,-7.5,12.925
2017-05-16,47.5,-2.5,14.7676
2017-05-16,47.5,2.5,15.400264
2017-05-16,47.5,7.5,13.005556
2017-05-16,47.5,12.5,13.24721
2017-05-16,47.5,17.5,14.89589
2017-05-16,47.5,22.5,15.04846
2017-05-16,47.5,27.5,14.019445
2017-05-16,47.5,32.5,15.496365
2017-05-16,47.5,37.5,15.5475
2017-05-16,47.5,42.5,15.1525
2017-05-16,47.5,47.5,17.7425
2017-05-16,47.5,52.5,17.193335
2017-05-16,47.5,57.5,16.743334
2017-05-16,47.5,62.5,19.065
2017-05-16,47.5,67.5,16.994999
2017-05-16,47.5,72.5,15.19
2017-05-16,47.5,77.5,17.61
2017-05-16,47.5,82.5,16.968334
2017-05-16,47.5,87.5,15.43
2017-05-16,47.5,92.5,13.921666
2017-05-16,47.5,97.5,9.47
2017-05-16,47.5,102.5,12.641
2017-05-16,47.5,107.5,13.1075
2017-05-16,47.5,112.5,13.641428
2017-05-16,47.5,117.5,13.05
2017-05-16,47.5,122.5,15.047999
2017-05-16,47.5,127.5,15.164999
2017-05-16,47.5,132.5,14.13857
2017-05-16,47.5,137.5,11.440001
2017-05-16,47.5,142.5,8.361667
2017-05-16,52.5,-177.5,4.57
2017-05-16,52.5,-167.5,5.96
2017-05-16,52.5,-132.5,9.315001
2017-05-16,52.5,-127.5,10.786001
2017-05-16,52.5,-122.5,11.846667
2017-05-16,52.5,-117.5,10.412143
2017-05-16,52.5,-112.5,12.464999
2017-05-16,52.5,-107.5,11.850769
2017-05-16,52.5,-102.5,10.650909
2017-05-16,52.5,-97.5,8.7771435
2017-05-16,52.5,-92.5,8.89
2017-05-16,52.5,-87.5,2.84
2017-05-16,52.5,-77.5,6.89
2017-05-16,52.5,-72.5,6.58
2017-05-16,52.5,-67.5,5.3566666
2017-05-16,52.5,-62.5,5.6633334
2017-05-16,52.5,-57.5,2.4757142
2017-05-16,52.5,-12.5,12.62
2017-05-16,52.5,-7.5,12.247059
2017-05-16,52.5,-2.5,12.688125
2017-05-16,52.5,2.5,14.191916
2017-05-16,52.5,7.5,14.573603
2017-05-16,52.5,12.5,14.351598
2017-05-16,52.5,17.5,13.015151
2017-05-16,52.5,22.5,13.5743475
2017-05-16,52.5,27.5,13.616154
2017-05-16,52.5,32.5,13.565
2017-05-16,52.5,37.5,13.011666
2017-05-16,52.5,42.5,13.203334
2017-05-16,52.5,47.5,12.806666
2017-05-16,52.5,52.5,14.228
2017-05-16,52.5,57.5,12.3571415
2017-05-16,52.5,62.5,12.74
2017-05-16,52.5,67.5,13.860001
2017-05-16,52.5,72.5,13.906
2017-05-16,52.5,77.5,14.390001
2017-05-16,52.5,82.5,13.853999
2017-05-16,52.5,87.5,11.002
2017-05-16,52.5,92.5,12.315999
2017-05-16,52.5,97.5,9.105
2017-05-16,52.5,102.5,9.854286
2017-05-16,52.5,107.5,9.7300005
2017-05-16,52.5,112.5,9.5975
2017-05-16,52.5,117.5,10.438889
2017-05-16,52.5,122.5,9.333333
2017-05-16,52.5,127.5,11.645001
2017-05-16,52.5,132.5,10.103333
2017-05-16,52.5,137.5,9.079999
2017-05-16,52.5,142.5,6.008333
2017-05-16,52.5,157.5,4.5859995
2017-05-16,57.5,-172.5,3.41
2017-05-16,57.5,-167.5,3.62
2017-05-16,57.5,-162.5,5.5299997
2017-05-16,57.5,-157.5,6.7900004
2017-05-16,57.5,-152.5,7.5275
2017-05-16,57.5,-137.5,9.096665
2017-05-16,57.5,-132.5,9.615001
2017-05-16,57.5,-127.5,11.49
2017-05-16,57.5,-122.5,11.7825
2017-05-16,57.5,-117.5,12.103333
2017-05-16,57.5,-112.5,11.846667
2017-05-16,57.5,-107.5,8.735001
2017-05-16,57.5,-102.5,6.39
2017-05-16,57.5,-97.5,6.2
2017-05-16,57.5,-92.5,1.935
2017-05-16,57.5,-67.5,2.45
2017-05-16,57.5,-47.5,1.9
2017-05-16,57.5,-7.5,11.404286
2017-05-16,57.5,-2.5,10.550312
2017-05-16,57.5,2.5,9.416667
2017-05-16,57.5,7.5,11.376667
2017-05-16,57.5,12.5,11.573751
2017-05-16,57.5,17.5,10.229092
2017-05-16,57.5,22.5,9.912106
2017-05-16,57.5,27.5,10.321429
2017-05-16,57.5,32.5,9.9675
2017-05-16,57.5,37.5,9.204
2017-05-16,57.5,42.5,9.21
2017-05-16,57.5,47.5,8.3025
2017-05-16,57.5,52.5,7.761667
2017-05-16,57.5,57.5,8.88
2017-05-16,57.5,62.5,10.474
2017-05-16,57.5,67.5,8.7275
2017-05-16,57.5,72.5,11.35
2017-05-16,57.5,77.5,10.475
2017-05-16,57.5,82.5,10.52
2017-05-16,57.5,87.5,10.425
2017-05-16,57.5,92.5,10.271429
2017-05-16,57.5,97.5,10.0625
2017-05-16,57.5,102.5,9.77
2017-05-16,57.5,107.5,8
2017-05-16,57.5,112.5,6.056667
2017-05-16,57.5,117.5,5.41
2017-05-16,57.5,122.5,5.9874997
2017-05-16,57.5,127.5,4.69
2017-05-16,57.5,132.5,6.43
2017-05-16,57.5,137.5,6.2533336
2017-05-16,57.5,142.5,3.49
2017-05-16,57.5,152.5,3.42
2017-05-16,57.5,162.5,3.8600001
2017-05-16,57.5,167.5,3.55
2017-05-16,62.5,-172.5,0.14500001
2017-05-16,62.5,-167.5,4.543333
2017-05-16,62.5,-162.5,6.4466667
2017-05-16,62.5,-157.5,7.6499996
2017-05-16,62.5,-152.5,8.497499
2017-05-16,62.5,-147.5,8.145
2017-05-16,62.5,-137.5,8.53
2017-05-16,62.5,-132.5,8.665
2017-05-16,62.5,-127.5,9.27
2017-05-16,62.5,-122.5,12.09
2017-05-16,62.5,-117.5,9.273334
2017-05-16,62.5,-112.5,9.045
2017-05-16,62.5,-107.5,4.74
2017-05-16,62.5,-92.5,-4.3
2017-05-16,62.5,-82.5,-4.15
2017-05-16,62.5,-67.5,-2.22
2017-05-16,62.5,-52.5,1.22
2017-05-16,62.5,-47.5,4.136667
2017-05-16,62.5,-42.5,1.8
2017-05-16,62.5,-22.5,7.933333
2017-05-16,62.5,-17.5,6.205
2017-05-16,62.5,-7.5,8.29
2017-05-16,62.5,-2.5,9.04
2017-05-16,62.5,2.5,9.105
2017-05-16,62.5,7.5,9.2935
2017-05-16,62.5,12.5,6.9164705
2017-05-16,62.5,17.5,7.423888
2017-05-16,62.5,22.5,7.40625
2017-05-16,62.5,27.5,7.258571
2017-05-16,62.5,32.5,4.5700006
2017-05-16,62.5,37.5,4.365
2017-05-16,62.5,42.5,3.8933334
2017-05-16,62.5,47.5,3.76
2017-05-16,62.5,52.5,4.114
2017-05-16,62.5,57.5,4.165
2017-05-16,62.5,62.5,4.12
2017-05-16,62.5,67.5,3.32
2017-05-16,62.5,72.5,3.2150002
2017-05-16,62.5,77.5,3.0466664
2017-05-16,62.5,82.5,5.28
2017-05-16,62.5,87.5,5.18
2017-05-16,62.5,92.5,5.26
2017-05-16,62.5,102.5,2.76
2017-05-16,62.5,107.5,4.73
2017-05-16,62.5,112.5,3.3566666
2017-05-16,62.5,117.5,4.83
2017-05-16,62.5,122.5,5.275
2017-05-16,62.5,127.5,5.026
2017-05-16,62.5,132.5,7.3799996
2017-05-16,62.5,137.5,4.08
2017-05-16,62.5,142.5,4.54
2017-05-16,62.5,152.5,5.8
2017-05-16,62.5,167.5,1.97
2017-05-16,62.5,172.5,1.37
2017-05-16,62.5,177.5,0.43
2017-05-16,67.5,-177.5,-2.27
2017-05-16,67.5,-167.5,-1.7333332
2017-05-16,67.5,-162.5,2.86
2017-05-16,67.5,-152.5,8.415
2017-05-16,67.5,-142.5,2.61
2017-05-16,67.5,-137.5,2.8633335
2017-05-16,67.5,-132.5,-0.89
2017-05-16,67.5,-127.5,10.1
2017-05-16,67.5,-122.5,-1.75
2017-05-16,67.5,-117.5,-2.74
2017-05-16,67.5,-107.5,-6.63
2017-05-16,67.5,-97.5,-6.52
2017-05-16,67.5,-92.5,-5.62
2017-05-16,67.5,-82.5,-6.71
2017-05-16,67.5,-67.5,-2.54
2017-05-16,67.5,-52.5,0.92
2017-05-16,67.5,-37.5,2.32
2017-05-16,67.5,-32.5,-0.22
2017-05-16,67.5,-22.5,7.103334
2017-05-16,67.5,-17.5,8.085
2017-05-16,67.5,-12.5,6.645
2017-05-16,67.5,7.5,6.23
2017-05-16,67.5,12.5,5.971
2017-05-16,67.5,17.5,2.902308
2017-05-16,67.5,22.5,3.5452943
2017-05-16,67.5,27.5,2.402857
2017-05-16,67.5,32.5,2.548
2017-05-16,67.5,37.5,0.89799994
2017-05-16,67.5,42.5,-0.14333332
2017-05-16,67.5,47.5,-1.855
2017-05-16,67.5,52.5,-0.565
2017-05-16,67.5,57.5,0.01000002
2017-05-16,67.5,62.5,-4.153333
2017-05-16,67.5,67.5,-5.6
2017-05-16,67.5,77.5,-5.01
2017-05-16,67.5,87.5,0.69
2017-05-16,67.5,112.5,-0.22
2017-05-16,67.5,122.5,0.17500001
2017-05-16,67.5,132.5,2.95
2017-05-16,67.5,152.5,3.44
2017-05-16,67.5,162.5,2.27
2017-05-16,67.5,167.5,-0.43
2017-05-16,72.5,-177.5,-4.68
2017-05-16,72.5,-157.5,-4.17
2017-05-16,72.5,-147.5,-3.13
2017-05-16,72.5,-142.5,-2.19
